# 本分叉翻译时**有意删掉**的行内代码字面量，一行一条 `span<TAB>理由`。
#
# 结构校验默认把「行内代码 span 丢失」判为漂移——这正是揪出被改坏的标识符的
# 手段。但 §4.3 要求删掉本分叉不存在的功能（上游的登录命令、OIDC/设备码流程、
# 订阅门墙），删掉这些说明时字面量会跟着消失。于是每条有意的删除在这里声明
# 一次：校验时它从「漂移」降级为「已声明的删除」note，理由留档可复核。
#
# 比较时两侧都过 `fork_normalize`，所以写上游写法（`grok login`）即可。
# 没有声明、也不是改名的 span 丢失仍然是硬失败。
grok login	本分叉没有可用的登录命令，认证是 BYOK（§4.3）
grok login --device-auth	本分叉无设备码流程，认证是 BYOK（§4.3）
grok login --oauth	本分叉无 OIDC/浏览器登录（§4.3）
topics/	本分叉的记忆不是「一主题一文件」：每个作用域一份 MEMORY.md，会话日志在 sessions/ 下，由 /dream 折叠进工作区的 MEMORY.md（§4.3，见 13-memory.md）
Subagent running: "do the thing" (Implementer · grok-4.6) · Thinking	第 16 章：本分叉的滚动回溯块是中文（scrollback/blocks/subagent.rs:183-255），上游英文串按实际渲染改写为 子代理运行中：“…” · 活动后缀 (人设 · 角色 · 模型)
Subagent started: "..."	第 16 章：同上，后台启动的实际渲染是 子代理已启动：“…”
Subagent completed/failed/cancelled in Xs: "..."	第 16 章：同上，实际渲染是 子代理已完成/失败/已取消（用时 Xs）：“…”
--device-code	第 14 章：本分叉无设备码流程（§4.3），随 `grok login --device-auth` 说明一并删除
$GROK_HOME/bin/grok	第 14 章：受管安装路径随分叉改名（$CHAOS_HOME/bin/chaos），二进制名不是 grok
Shift+letter	第 5 章：按键记号按中文习惯写作 `Shift+字母`
Ctrl+letter	第 5 章：按键记号按中文习惯写作 `Ctrl+字母`
<repo-root>/.grok/config.toml	第 5 章：路径占位符随正文中文化写作 `<仓库根>/.chaos/config.toml`
<repo-root>/.grok/workflows/	第 5 章：同上，写作 `<仓库根>/.chaos/workflows/`
