# 表格短单元格词典
#
# 用户指南里所有「1–2 个 ASCII 单词」的表格单元格都在这里决定一次，
# 而不是在 27 个文件里各写一遍。格式：`英文单元格<TAB>中文`。
#
#   键   单元格的完整文本（前后空白不算，`**`、`` ` `` 算）
#   值   中文译文；写 `=keep` 表示这是标识符/字面量/专名，保留英文
#
# 只在单元格**整体**与键相同时替换，所以译文不会拼进更长的句子里；
# 替换时保留单元格原有的前后空白，表格列宽不变。
#
# 校验：python3 scripts/check-doc-l10n.py --check-glossary
# 应用：python3 scripts/check-doc-l10n.py --apply-cell-glossary
# 清点未决：python3 scripts/check-doc-l10n.py --cells --strict
#
# 写译文时的硬约束（`--check-glossary` 会逐条检查）：
#   1. 译文中行内代码 `` `...` `` 的集合必须与英文一致（改名的例外见
#      `sync/doc-l10n-conventions.md` §4.1，脚本按同一张表归一化）；
#   2. 散文数字不得增减；
#   3. 链接目标 `](...)` 不得增减；
#   4. 不得含裸 `|`（会切坏表格行）或换行；
#   5. 译文必须含汉字——纯英文一律写 `=keep`，不要留空。
#
# 3 个及以上单词的单元格不在这里：它们是散文，按章节就地翻译。

Key	键
Details	说明
Description	说明
Type / Values	类型 / 取值
Requirements	requirements.toml 可否设置
Managed	managed_config.toml 是否生效
Field	字段
Scope	作用域
Type	类型
Value	取值
Values (default)	取值（默认）
Variable	变量
Flag	标志
Default	默认
Required	必填
Notes	说明
Meaning	含义
Effect	效果
Action	操作
Category	类别
Context	上下文
Mode	模式
State	状态
Setting	设置
Shortcut	快捷键
Tool	工具
Command	命令
File	文件
Path	路径
Source	来源
Format	格式
Platform	平台
Plugin	插件
Option	选项
Parameter	参数
Process	进程
Method	方式
Mechanism	机制
Level	级别
Priority	优先级
Prefix	前缀
Weight	权重
Unit	单位
Entry	条目
Event	事件
Item	条目
Example	示例
Examples	示例
Contents	内容
Status	状态
Location	位置
Supported	支持
Config	配置
Config Names	配置项
Config Value	配置值
Configurable	可配置
Attributes	属性
Attribute	属性
Alternates	备选键
Detection	检测
Transport	传输
Metric	指标
Tier	层级
Capability	能力
Profile	=keep
Execute	执行
Read	读
Write	写
Document	文档
Best for	最适合
Maps to	对应
Matches	匹配
Shows	显示
Use Case	适用场景
Aspect	方面
Gesture	手势
Language	语言
Package	包
