crate,file,line,reason,nearest_fn
xai-chat-state,crates/codegen/xai-chat-state/src/actor/tests.rs,115,"pre-existing fork gap: selective-compaction blocks are stored but not \
            projected into build_request items at the chat-state layer (assertion \
            `encoded.contains(""context-summary"")` never holds). CI was red at the \
            cargo fmt step for a long time, so this debt went unnoticed; the projection \
            is a separate feature task; review 2026-10",selective_compaction_projects_without_mutating_history_and_survives_snapshot
xai-crash-handler,crates/codegen/xai-crash-handler/tests/integration.rs,42,NO_REASON,subprocess_entry
xai-fast-worktree,crates/codegen/xai-fast-worktree/src/api/gc/tests.rs,401,"fork: needs the Grove daemon's pin backend (`pin_exists` is a hardcoded `Ok(false)`, `delete_pin_ref_gated` bails 'pin delete requires grove'), which the fork removes by design; re-enable with a real pin reader; review 2026-10",run_pass_prunes_orphan_grove_pins_after_grace
xai-fast-worktree,crates/codegen/xai-fast-worktree/src/git/safety_tests/gate.rs,207,run by git_dir_in_the_environment_does_not_change_the_verdict,verdict_under_a_foreign_git_dir
xai-fast-worktree,crates/codegen/xai-fast-worktree/src/git/safety_tests/gate.rs,222,run by git_configuration_in_the_environment_does_not_reach_the_snapshot,snapshot_under_a_foreign_clean_filter
xai-fast-worktree,crates/codegen/xai-fast-worktree/src/nfs/liveness.rs,761,"fork: needs the Grove daemon's pin backend (`pin_exists` is a hardcoded `Ok(false)`, `delete_pin_ref_gated` bails 'pin delete requires grove'), which the fork removes by design; re-enable with a real pin reader; review 2026-10",aborted_partial_removal_prunes_after_grace
xai-grok-agent,crates/codegen/xai-grok-agent/src/prompt/skills.rs,2050,"environment-dependent: reads real $HOME for user-scope skills, so on a host \
                with a 'commit' skill (e.g. ~/.agents/skills/git-commit-conventional) the \
                assertion 'exactly 2' sees a 3rd. pre-existing, not caused by b13fa526.",user_skills_shadow_bundled_skills
xai-grok-env,crates/codegen/xai-grok-env/src/lib.rs,239,"asserts upstream xAI defaults (bundled model catalog / non-empty \
                PRODUCTION_ENDPOINTS / grok.com interactive login) that this fork \
                removes by design; rewrite against Chaos behaviour or delete",relay_and_gateway_urls_are_distinct
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/agent_view/modals.rs,2890,fork: MANAGED_SECTION_CONNECTORS_URL is empty in Chaos (no portal); URL band is never recorded; review 2026-10,mouse_down_on_url_row_opens_connectors
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/agent_view/modals.rs,2911,fork: MANAGED_SECTION_CONNECTORS_URL is empty in Chaos (no portal); URL band is never recorded; review 2026-10,mouse_down_on_label_row_folds_not_opens
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/agent_view/modals.rs,2943,fork: MANAGED_SECTION_CONNECTORS_URL is empty in Chaos (no portal); URL band is never recorded; review 2026-10,mouse_down_on_url_row_while_searching_does_not_open
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,344,fork: billing/subscription features removed; review 2026-10,upsell_non_max_shows_qa_with_retry_option
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,365,fork: billing/subscription features removed; review 2026-10,upsell_non_max_payg_on_shows_increase_label
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,379,fork: billing/subscription features removed; review 2026-10,upsell_non_max_qa_heading_is_credit_limit_when_payg_off
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,394,fork: billing/subscription features removed; review 2026-10,upsell_non_max_qa_heading_is_spending_cap_when_payg_on
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,409,fork: billing/subscription features removed; review 2026-10,upsell_non_max_upgrade_url_is_supergrok
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,425,fork: billing/subscription features removed; review 2026-10,upsell_non_max_payg_url_is_usage
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,440,fork: billing/subscription features removed; review 2026-10,upsell_non_max_payg_on_description_mentions_spending_cap
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,454,fork: billing/subscription features removed; review 2026-10,upsell_non_max_payg_off_description_mentions_on_demand
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,468,fork: billing/subscription features removed; review 2026-10,upsell_non_max_unified_shows_buy_credits
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,487,fork: billing/subscription features removed; review 2026-10,upsell_max_unified_qa_omits_upgrade
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,631,fork: billing/subscription features removed; review 2026-10,upsell_max_tier_opens_qa_without_upgrade_payg_off
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,650,fork: billing/subscription features removed; review 2026-10,upsell_max_tier_opens_qa_without_upgrade_payg_on
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,820,fork: billing/subscription features removed; review 2026-10,session_usage_complete_pushes_block_and_chains_billing
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,1486,fork: billing/subscription features removed; review 2026-10,open_url_shows_manual_url_when_browser_unavailable
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,1525,fork: billing/subscription features removed; review 2026-10,open_url_does_not_show_fallback_when_opener_succeeds
xai-grok-pager,crates/codegen/xai-grok-pager/src/app/dispatch/tests/billing.rs,1613,fork: billing/subscription features removed; review 2026-10,credit_limit_upsell_submit_shows_url_when_browser_unavailable
